Symptom,Specialty
Chest pain and shortness of breath,Cardiologist
Red itchy patches on skin,Dermatologist
High fever with chills,General Physician
Severe migraine headache,Neurologist
Lower back pain and stiffness,Orthopedic Surgeon
Blurry vision and eye pain,Ophthalmologist
Child has cough and cold,Pediatrician
Routine pregnancy checkup,Gynecologist
Blood sugar is very high,Endocrinologist
Difficulty breathing and wheezing,Pulmonologist
Feeling anxious and depressed,Psychiatrist
Joint pain while walking,Orthopedic Surgeon
Dry itchy skin with redness,Dermatologist
Sudden chest tightness,Cardiologist
Baby has mild fever,Pediatrician
Feeling of sadness and hopelessness,Psychiatrist
Pregnancy-related consultation,Gynecologist
Spine pain and stiffness,Orthopedic Surgeon
Eyes hurting in bright light,Ophthalmologist
Asthma-related breathing issue,Pulmonologist
